eine,indische
indische,dichtung
dichtung,von
von,hermann
hermann,hesse
hesse,erster
erster,teil
teil,romain
romain,rolland
rolland,dem
dem,verehrten
verehrten,freunde
freunde,gewidmet
gewidmet,der
der,sohn
sohn,des
des,brahmanen
brahmanen,im
im,schatten
schatten,des
des,hauses
hauses,in
in,der
der,sonne
sonne,des
des,flußufers
flußufers,bei
bei,den
den,booten
booten,im
im,schatten
schatten,des
des,salwaldes
salwaldes,im
im,schatten
schatten,des
des,feigenbaumes
feigenbaumes,wuchs
wuchs,siddhartha
siddhartha,auf
auf,der
der,schöne
schöne,sohn
sohn,des
des,brahmanen
brahmanen,der
der,junge
junge,falke
falke,zusammen
zusammen,mit
mit,govinda
govinda,seinem
seinem,freunde
freunde,dem
dem,brahmanensohn.
brahmanensohn.,sonne
sonne,bräunte
bräunte,seine
seine,lichten
lichten,schultern
schultern,am
am,flußufer
flußufer,beim
beim,bade
bade,bei
bei,den
den,heiligen
heiligen,waschungen
waschungen,bei
bei,den
den,heiligen
heiligen,opfern.
opfern.,schatten
schatten,floß
floß,in
in,seine
seine,schwarzen
schwarzen,augen
augen,im
im,mangohain
mangohain,bei
bei,den
den,knabenspielen
knabenspielen,beim
beim,gesang
gesang,der
der,mutter
mutter,bei
bei,den
den,heiligen
heiligen,opfern
opfern,bei
bei,den
den,lehren
lehren,seines
seines,vaters
vaters,des
des,gelehrten
gelehrten,beim
beim,gespräch
gespräch,der
der,weisen.
weisen.,lange
lange,schon
schon,nahm
nahm,siddhartha
siddhartha,am
am,gespräch
gespräch,der
der,weisen
weisen,teil
teil,übte
übte,sich
sich,mit
mit,govinda
govinda,im
im,redekampf
redekampf,übte
übte,sich
sich,mit
mit,govinda
govinda,in
in,der
der,kunst
kunst,der
der,betrachtung
betrachtung,im
im,dienst
dienst,der
der,versenkung.
versenkung.,schon
schon,verstand
verstand,er
er,lautlos
lautlos,das
das,om
om,zu
zu,sprechen
sprechen,das
das,wort
wort,der
der,worte
worte,es
es,lautlos
lautlos,in
in,sich
sich,hinein
hinein,zu
zu,sprechen
sprechen,mit
mit,dem
dem,einhauch
einhauch,es
es,lautlos
lautlos,aus
aus,sich
sich,heraus
heraus,zu
zu,sprechen
sprechen,mit
mit,dem
dem,aushauch
aushauch,mit
mit,gesammelter
gesammelter,seele
seele,die
die,stirn
stirn,umgeben
umgeben,vom
vom,glanz
glanz,des
des,klardenkenden
klardenkenden,geistes.
geistes.,schon
schon,verstand
verstand,er
er,im
im,innern
innern,seines
seines,wesens
wesens,atman
atman,zu
zu,wissen
wissen,unzerstörbar
unzerstörbar,eins
eins,mit
mit,dem
dem,weltall.
weltall.,freude
freude,sprang
sprang,in
in,seines
seines,vaters
vaters,herzen
herzen,über
über,den
den,sohn
sohn,den
den,gelehrigen
gelehrigen,den
den,wissensdurstigen
